skill_count,endorsement_ratio,has_about,about_length,exp_count,edu_count,has_photo,is_fake,score
7,0.58,1,300,5,1,0,0,77
1,0.4,1,452,1,0,1,0,51
22,0.1,0,0,4,3,1,0,32
0,0.27,0,0,8,2,1,0,50
4,0.58,0,0,1,3,1,0,54
0,0.64,0,0,2,2,1,0,54
17,1.0,0,0,4,2,0,0,51
29,0.31,0,0,1,0,1,0,10
16,0.62,0,0,6,3,1,0,55
19,0.89,1,403,6,0,1,0,82
28,0.68,0,0,1,0,1,0,14
21,0.61,1,249,2,3,1,0,64
25,0.08,1,373,5,3,0,0,47
7,0.32,1,342,9,2,0,0,61
7,0.59,1,47,6,2,0,0,64
1,0.14,0,0,2,2,1,0,40
27,0.82,1,255,8,0,1,0,58
6,0.55,1,326,8,1,1,0,79
22,0.91,1,379,7,3,0,0,71
4,0.14,1,227,9,3,1,0,86
25,0.16,1,396,3,1,1,0,39
29,0.42,1,120,5,1,1,0,43
26,0.8,0,0,0,3,1,0,24
9,0.79,0,0,3,2,0,0,52
29,0.21,0,0,5,2,0,0,10
26,0.34,1,45,3,2,1,0,34
5,0.14,0,0,0,0,0,0,10
15,0.56,0,0,9,2,1,0,61
6,0.86,0,0,8,1,1,0,73
19,0.26,0,0,8,1,1,0,56
9,0.49,1,32,7,1,0,0,56
13,0.94,1,294,4,2,1,0,100
21,0.62,0,0,0,1,0,0,13
3,0.52,0,0,7,3,1,0,68
18,0.83,1,492,3,2,0,0,66
5,0.83,0,0,9,0,1,0,58
16,0.13,0,0,5,2,0,0,36
0,0.16,0,0,7,0,0,0,27
17,0.09,0,0,9,2,0,0,30
21,0.65,0,0,8,1,0,0,36
25,0.4,1,243,5,2,0,0,48
4,0.85,0,0,8,0,0,0,57
4,0.86,1,148,9,0,1,0,78
4,0.57,1,217,9,0,0,0,60
10,0.95,0,0,6,3,0,0,72
11,0.33,1,186,2,0,0,0,49
28,0.64,0,0,6,2,1,0,33
16,0.15,0,0,4,2,0,0,38
1,0.18,0,0,9,1,0,0,35
23,0.66,1,326,9,0,0,0,56
6,0.37,1,246,8,2,0,0,77
0,0.89,1,465,5,1,1,0,94
22,0.07,1,310,8,2,0,0,51
10,0.78,1,280,1,1,1,0,73
16,0.29,0,0,6,0,1,0,43
26,0.07,0,0,0,2,1,1,10
19,0.52,0,0,7,2,0,0,50
3,0.43,0,0,2,3,0,0,26
20,0.66,1,221,8,1,0,0,61
28,0.18,1,482,7,0,0,0,30
23,0.47,0,0,8,0,1,0,37
11,0.54,1,289,6,2,1,0,83
12,0.46,1,478,7,3,1,0,95
3,0.25,0,0,7,2,0,0,45
27,0.09,1,48,9,2,1,0,36
3,0.03,1,358,4,0,0,0,50
17,0.53,1,165,4,3,1,0,77
7,0.09,1,476,7,3,0,0,63
13,0.35,1,247,8,3,0,0,71
1,0.75,1,247,4,2,1,0,84
25,0.24,1,75,7,0,0,0,30
23,0.23,0,0,3,1,0,0,10
25,0.61,0,0,1,0,1,0,10
4,0.31,0,0,4,0,1,0,40
15,0.67,1,378,0,0,0,0,53
10,0.63,1,325,6,0,1,0,75
16,0.37,1,281,0,2,1,0,51
11,0.22,0,0,9,1,1,0,46
19,0.34,0,0,2,3,1,0,39
9,0.56,1,361,0,3,0,0,56
13,0.71,1,190,8,0,1,0,72
15,0.49,1,65,8,1,1,0,74
2,0.68,1,176,6,3,0,0,86
11,0.15,1,48,3,0,1,0,52
7,0.89,0,0,4,0,1,0,49
7,0.5,1,316,2,2,1,0,63
17,0.6,1,297,8,3,1,0,83
7,0.79,1,395,5,1,1,0,91
27,0.02,0,0,5,2,1,1,29
5,0.52,0,0,1,0,0,0,25
3,0.66,0,0,8,3,0,0,61
18,0.89,1,75,2,0,0,0,51
5,0.94,1,267,1,1,0,0,56
19,0.32,1,106,1,0,0,0,23
14,1.0,0,0,8,3,1,0,76
15,0.24,1,158,8,3,0,0,67
2,0.47,1,496,1,0,1,0,50
15,0.62,1,223,5,2,0,0,81
7,0.03,0,0,8,1,0,0,23
10,0.09,0,0,5,2,1,0,49
20,0.63,1,17,7,2,0,0,68
29,0.62,1,154,5,3,0,0,51
26,0.12,1,443,7,0,0,0,28
3,0.38,1,190,1,0,1,0,46
0,0.15,1,348,3,2,0,0,54
6,0.31,0,0,6,1,0,0,43
21,0.99,1,341,0,1,0,0,53
5,0.53,1,309,8,3,1,0,88
28,0.26,0,0,2,0,0,0,10
15,0.54,0,0,7,3,1,0,63
6,0.92,1,84,2,3,0,0,76
1,0.74,1,161,1,3,1,0,65
20,0.42,1,162,7,3,0,0,72
2,0.77,0,0,6,2,0,0,52
8,0.96,1,326,5,0,0,0,80
28,0.4,1,141,6,2,1,0,40
2,0.32,0,0,5,1,0,0,38
5,0.17,0,0,5,0,1,0,37
29,0.68,1,188,1,0,0,0,18
20,0.16,0,0,1,0,1,0,13
8,0.32,1,8,4,2,1,0,64
14,0.56,1,408,3,2,1,0,85
20,0.75,0,0,9,2,0,0,47
12,0.46,1,399,8,3,0,0,82
8,0.15,0,0,2,1,0,0,13
15,0.37,1,450,5,0,0,0,63
2,0.95,1,397,2,1,1,0,80
25,0.88,1,412,2,0,1,0,49
10,0.67,1,72,5,0,0,0,68
18,0.26,0,0,0,1,0,0,10
21,0.91,0,0,5,1,1,0,49
14,0.46,1,401,2,3,0,0,63
24,0.46,1,272,0,1,1,0,32
0,0.83,1,417,6,3,1,0,100
28,0.06,0,0,9,1,1,1,12
18,0.24,1,67,8,3,0,0,53
17,0.41,1,292,4,3,0,0,71
24,0.64,0,0,9,2,1,0,42
6,0.82,0,0,8,1,0,0,60
1,0.26,1,351,7,2,0,0,64
21,0.93,0,0,1,2,0,0,40
22,0.12,0,0,8,1,0,0,28
6,0.54,1,262,2,2,0,0,66
10,0.7,1,12,9,0,0,0,61
23,0.23,0,0,5,3,0,0,23
2,0.4,1,320,6,3,1,0,84
26,0.71,1,197,6,2,0,0,50
20,0.75,0,0,6,2,0,0,45
20,0.34,1,490,5,1,1,0,62
5,0.84,0,0,3,1,0,0,40
12,0.15,0,0,1,0,0,0,10
22,0.69,1,75,7,3,0,0,64
7,0.53,1,207,8,1,1,0,80
0,0.66,1,195,6,1,1,0,78
20,0.8,1,130,0,0,1,0,42
22,0.12,0,0,7,0,1,0,14
15,0.48,1,201,7,2,0,0,69
22,0.11,0,0,4,3,1,0,41
28,0.52,1,154,5,2,0,0,39
8,0.23,1,61,7,0,1,0,50
27,0.16,1,48,2,1,0,0,21
25,0.96,0,0,5,0,0,0,35
3,0.29,0,0,9,1,1,0,50
6,0.98,0,0,7,1,0,0,60
7,0.98,0,0,3,1,1,0,68
10,0.32,1,85,3,2,1,0,52
15,0.68,0,0,6,3,0,0,59
18,0.15,0,0,3,1,0,0,15
5,0.15,1,387,0,1,0,0,37
12,0.44,0,0,9,3,0,0,56
5,0.83,0,0,6,3,0,0,66
27,0.54,0,0,0,0,0,0,10
9,0.79,0,0,2,0,1,0,47
29,0.45,0,0,8,2,1,0,27
19,0.91,1,52,6,2,1,0,75
1,0.1,0,0,4,3,1,0,46
17,0.26,0,0,3,0,0,0,24
15,0.73,0,0,3,1,1,0,48
0,0.73,0,0,2,3,0,0,51
22,0.01,0,0,1,0,0,1,10
25,0.13,0,0,9,0,1,0,21
5,0.15,0,0,0,2,0,0,14
16,0.89,0,0,3,3,1,0,62
12,0.03,0,0,7,0,0,0,28
15,0.03,1,362,2,3,0,0,58
11,0.47,0,0,9,1,0,0,49
15,0.77,0,0,0,2,1,0,45
25,0.62,1,4,2,2,0,0,39
5,0.51,0,0,9,3,0,0,58
16,0.35,1,18,3,3,1,0,70
12,0.61,0,0,7,2,1,0,55
28,0.33,1,387,2,0,0,0,24
0,0.75,1,405,4,3,0,0,87
15,0.87,0,0,1,0,0,0,30
16,0.3,0,0,3,1,1,0,34
5,0.97,0,0,6,0,1,0,60
3,0.87,0,0,7,3,1,0,71
7,0.58,0,0,6,2,1,0,60
1,0.62,1,238,7,0,0,0,70
28,0.5,1,188,3,0,0,0,23
22,0.14,0,0,5,2,1,0,36
28,0.82,0,0,5,0,1,0,27
18,0.21,0,0,5,3,0,0,41
25,0.77,1,378,8,0,0,0,46
7,0.09,0,0,7,3,1,0,48
15,0.44,1,451,1,2,0,0,52
2,0.91,0,0,5,2,1,0,83
29,0.78,0,0,8,1,1,0,38
2,0.15,0,0,6,0,0,0,26
29,1.0,0,0,1,2,0,0,12
25,0.41,1,372,1,1,1,0,48
11,0.87,1,468,3,2,1,0,87
28,0.01,0,0,6,2,1,1,26
19,0.2,0,0,1,3,1,0,33
28,0.52,1,328,0,1,1,0,32
23,0.5,1,454,8,1,1,0,62
21,0.98,0,0,6,3,1,0,70
1,0.31,1,405,3,3,1,0,65
24,0.92,1,239,7,3,0,0,70
15,0.21,0,0,3,1,1,0,37
7,0.02,0,0,0,2,1,0,27
15,0.24,1,178,2,0,1,0,49
27,0.36,1,428,3,1,0,0,33
20,0.58,1,331,2,3,0,0,45
12,0.71,1,488,3,1,0,0,69
18,0.87,1,183,4,2,1,0,77
28,0.2,1,411,1,1,0,0,12
26,0.09,1,483,8,3,1,0,65
23,0.51,0,0,8,2,1,0,45
2,0.73,0,0,5,1,1,0,68
24,0.81,1,107,6,0,1,0,61
9,0.28,0,0,4,1,1,0,45
6,0.62,0,0,9,0,1,0,61
16,0.64,0,0,4,0,1,0,48
15,0.81,1,292,8,1,1,0,86
18,0.43,0,0,0,1,0,0,17
24,0.0,1,434,0,0,0,0,10
1,0.62,0,0,7,3,0,0,52
7,0.38,1,473,7,0,1,0,76
6,0.37,1,89,2,1,1,0,54
1,0.29,1,311,3,3,0,0,59
26,0.05,0,0,4,3,0,1,17
3,0.97,0,0,0,3,1,0,49
22,0.25,1,464,3,2,0,0,33
4,0.23,1,237,7,1,1,0,68
19,0.06,0,0,4,1,0,0,23
8,0.1,1,102,9,1,1,0,60
0,0.54,1,67,6,0,1,0,73
25,0.14,1,126,1,2,1,0,23
13,0.91,0,0,7,0,0,0,60
10,0.95,1,171,7,3,1,0,100
0,0.4,0,0,1,0,1,0,34
7,0.61,1,360,6,0,0,0,70
29,0.22,0,0,8,3,1,0,29
26,0.79,0,0,5,0,1,0,34
5,0.71,1,123,5,2,0,0,73
15,0.64,1,300,9,0,1,0,74
3,0.21,0,0,1,3,0,0,27
9,0.18,0,0,4,1,0,0,36
1,0.52,1,416,6,3,0,0,73
22,0.11,1,48,0,1,0,0,20
12,0.69,1,194,0,1,1,0,56
26,0.48,1,344,9,1,0,0,42
18,0.94,0,0,1,2,0,0,39
9,0.36,1,105,4,2,1,0,69
9,0.36,1,156,1,1,0,0,43
19,0.6,1,386,0,1,1,0,51
3,0.15,1,426,3,0,0,0,41
27,0.86,0,0,6,1,1,0,45
25,0.74,1,129,2,3,1,0,47
7,0.95,0,0,8,3,0,0,75
19,0.19,0,0,7,0,1,0,32
23,0.46,0,0,8,1,1,0,37
7,0.13,1,459,6,2,1,0,77
28,0.12,1,439,6,3,0,0,46
19,0.14,0,0,9,3,0,0,36
4,0.23,0,0,6,3,0,0,44
23,0.22,0,0,7,0,0,0,11
7,0.09,0,0,5,1,0,0,29
21,0.37,1,478,1,1,0,0,35
16,0.71,0,0,8,0,0,0,34
19,0.88,0,0,8,1,0,0,49
22,0.5,0,0,0,0,1,0,13
5,0.59,1,132,4,0,0,0,56
28,0.9,1,444,2,0,0,0,43
28,0.59,0,0,4,0,1,0,16
7,0.31,0,0,3,2,0,0,34
3,0.18,1,128,9,2,1,0,62
1,0.48,1,352,2,1,0,0,54
18,0.92,1,222,9,1,1,0,88
27,0.73,0,0,1,0,1,0,10
13,0.64,1,394,9,3,0,0,86
15,0.4,1,385,1,3,1,0,58
6,0.52,1,112,4,2,1,0,74
5,0.69,0,0,8,3,0,0,58
20,0.5,1,1,2,0,0,0,31
14,0.19,1,483,0,3,1,0,58
7,0.58,0,0,4,1,0,0,38
0,0.84,1,210,6,1,0,0,78
0,0.94,1,403,4,3,0,0,86
21,0.48,1,410,6,3,1,0,80
1,0.69,1,198,5,1,1,0,77
28,0.01,1,300,2,0,1,0,19
5,0.04,0,0,0,2,1,0,16
0,0.09,1,248,9,0,0,0,50
16,0.93,1,393,5,0,0,0,81
25,0.41,1,190,1,0,1,0,23
21,0.21,0,0,7,2,0,0,39
12,0.2,0,0,8,0,0,0,24
3,0.43,0,0,4,3,1,0,57
20,0.81,0,0,4,0,1,0,47
18,0.57,0,0,4,3,1,0,52
21,0.16,1,93,0,1,0,0,20
2,0.14,0,0,4,1,1,0,34
21,0.94,1,292,1,2,0,0,62
1,0.94,1,377,2,3,1,0,91
12,0.68,1,464,5,0,0,0,63
26,0.19,1,162,4,1,0,0,33
26,0.23,0,0,5,0,1,0,15
25,0.12,1,287,2,3,1,0,49
13,0.38,0,0,3,1,1,0,44
12,0.08,0,0,5,2,0,0,37
2,0.27,1,309,1,2,1,0,66
22,0.33,1,124,6,0,1,0,42
2,0.1,0,0,7,3,1,0,51
23,0.22,0,0,6,3,0,0,39
7,0.03,1,149,9,1,0,0,51
26,0.56,0,0,8,1,0,0,22
8,0.09,0,0,2,2,1,0,36
13,0.24,1,96,3,2,1,0,70
23,0.71,1,33,0,0,0,0,22
25,0.18,1,162,7,0,1,0,37
11,0.38,1,497,5,2,1,0,77
8,0.64,0,0,1,0,0,0,22
12,0.12,1,186,8,3,0,0,61
22,0.38,1,478,1,2,1,0,43
24,0.84,0,0,2,2,0,0,24
15,0.91,0,0,2,2,1,0,45
24,0.21,1,493,8,2,0,0,51
8,0.83,0,0,0,0,1,0,37
27,0.17,1,429,5,0,1,0,44
26,0.91,1,84,7,1,1,0,59
22,0.14,1,418,5,3,1,0,62
0,0.55,0,0,6,3,1,0,72
7,0.99,1,99,3,0,1,0,66
14,0.75,1,216,5,2,0,0,77
10,0.62,0,0,8,2,1,0,71
3,0.49,1,166,8,1,1,0,71
27,0.81,1,282,3,3,0,0,63
16,0.16,0,0,6,0,0,0,23
15,0.08,1,372,1,1,1,0,46
9,0.26,1,368,1,3,0,0,58
24,0.0,1,412,6,3,1,0,53
2,0.01,1,328,8,3,1,0,74
13,0.11,1,46,3,0,1,0,47
18,0.06,0,0,4,1,0,0,12
17,0.89,0,0,8,3,0,0,66
13,0.87,0,0,6,1,0,0,58
22,0.98,1,215,8,1,1,0,70
5,0.12,1,221,5,1,0,0,55
24,0.56,1,348,6,0,0,0,41
12,0.57,0,0,7,1,1,0,55
29,0.19,1,349,6,0,1,0,45
3,0.48,0,0,8,2,1,0,59
24,0.18,1,19,0,3,0,0,17
4,0.88,0,0,1,1,1,0,31
22,0.19,0,0,8,1,0,0,15
2,0.07,1,374,8,3,1,0,81
21,0.03,0,0,5,1,0,1,10
21,0.35,0,0,6,2,1,0,43
5,0.56,0,0,3,3,0,0,52
7,0.87,0,0,2,0,1,0,42
5,0.25,1,430,3,3,0,0,68
3,0.72,1,140,0,3,1,0,72
1,0.44,1,342,8,0,1,0,68
14,0.7,1,38,4,0,1,0,67
17,1.0,0,0,4,3,0,0,61
15,0.79,1,216,5,2,0,0,75
19,0.65,1,423,0,0,1,0,43
12,0.06,0,0,2,1,1,0,14
19,0.25,1,461,7,3,0,0,64
24,0.47,0,0,6,2,1,0,38
0,0.29,1,166,5,2,0,0,52
27,0.97,1,325,0,1,1,0,38
26,0.03,1,412,1,1,1,0,23
8,0.73,0,0,0,2,0,0,31
7,0.95,1,428,6,1,0,0,86
10,0.22,0,0,9,2,1,0,51
2,0.5,0,0,9,3,1,0,60
21,0.05,1,269,4,0,0,0,34
2,0.35,1,73,5,1,1,0,65
1,0.57,1,291,3,1,1,0,78
8,0.55,1,2,1,1,1,0,50
28,0.36,1,366,4,3,1,0,45
18,0.81,1,7,2,1,0,0,40
21,0.38,1,302,8,2,1,0,70
27,0.93,1,268,3,3,0,0,62
25,0.58,0,0,6,1,0,0,30
17,0.94,1,479,0,2,1,0,68
11,0.82,0,0,5,2,1,0,67
12,0.37,0,0,3,1,0,0,31
14,0.36,0,0,9,3,1,0,54
8,0.55,0,0,9,2,1,0,56
12,0.5,1,359,9,1,0,0,65
28,0.03,1,88,7,2,0,0,23
21,0.12,1,401,7,2,1,0,59
7,0.8,0,0,6,3,0,0,62
26,0.23,1,24,8,0,1,0,48
0,0.97,1,29,5,2,1,0,84
2,0.48,0,0,3,0,1,0,30
18,0.17,1,89,4,2,1,0,56
18,0.31,1,236,0,2,0,0,33
5,0.76,1,266,9,3,0,0,87
12,0.96,0,0,2,2,1,0,61
19,0.94,0,0,7,3,0,0,56
21,0.94,1,304,4,1,0,0,67
13,0.56,0,0,5,3,1,0,71
25,0.73,1,126,4,0,0,0,43
0,0.33,1,286,1,2,1,0,59
3,0.41,1,271,6,3,0,0,71
10,0.29,1,210,4,3,0,0,64
3,0.8,0,0,1,0,0,0,33
19,0.61,1,347,7,0,1,0,74
23,0.12,1,400,9,2,0,0,46
28,0.28,0,0,2,2,1,0,10
7,0.01,1,49,4,3,1,0,55
22,0.73,1,398,9,1,1,0,72
7,0.61,0,0,1,2,0,0,29
20,0.15,1,212,8,3,1,0,65
1,0.56,1,499,9,1,1,0,83
4,0.37,0,0,5,2,0,0,51
29,0.26,0,0,3,0,0,0,10
29,0.87,0,0,4,0,1,0,30
18,0.21,0,0,8,1,1,0,42
3,0.29,1,235,1,1,0,0,38
26,0.76,1,330,8,3,0,0,67
29,0.17,1,39,3,2,1,0,34
29,0.06,1,161,7,0,1,0,22
22,0.39,1,62,7,2,0,0,45
20,0.31,0,0,1,2,1,0,28
6,0.32,1,318,7,1,0,0,69
18,0.39,1,194,6,0,0,0,48
4,0.89,1,151,6,0,1,0,79
10,0.48,1,229,2,1,1,0,73
0,0.55,0,0,4,1,0,0,34
14,0.98,1,420,7,0,1,0,94
1,0.87,0,0,4,3,0,0,66
14,0.54,0,0,9,0,1,0,49
3,0.51,0,0,7,0,0,0,45
12,0.45,1,43,1,0,1,0,49
20,0.02,0,0,3,3,0,0,27
17,0.86,1,89,7,2,0,0,76
11,0.62,1,145,6,3,1,0,82
25,0.85,1,479,1,1,1,0,53
20,0.45,0,0,7,0,0,0,23
27,0.98,1,105,9,1,0,0,54
21,0.18,1,484,0,3,1,0,44
18,0.16,1,468,3,0,1,0,47
29,0.47,0,0,1,0,1,0,10
9,0.26,0,0,8,2,1,0,61
6,0.61,1,306,3,2,0,0,63
18,0.79,1,50,0,2,0,0,55
3,0.91,0,0,0,0,1,0,32
13,0.27,0,0,9,1,1,0,45
4,0.36,0,0,5,3,0,0,56
21,0.7,0,0,4,1,0,0,33
28,0.05,1,451,7,2,1,0,43
21,0.72,0,0,0,3,0,0,27
13,0.27,0,0,6,3,1,0,62
15,0.58,0,0,4,0,0,0,35
19,0.68,0,0,5,3,0,0,47
20,0.94,1,81,3,0,1,0,52
20,0.33,1,358,8,2,1,0,72
2,0.44,1,278,5,0,1,0,70
7,0.88,0,0,2,0,0,0,37
28,0.41,1,45,7,2,0,0,44
13,0.79,0,0,2,2,0,0,43
2,0.2,1,351,0,3,1,0,52
27,0.12,0,0,9,1,0,0,10
8,0.01,1,419,0,1,0,0,36
2,0.89,0,0,2,3,0,0,53
10,0.99,0,0,3,1,0,0,43
16,0.01,1,364,4,2,1,0,55
3,0.06,0,0,5,1,0,0,31
23,0.81,1,39,9,3,0,0,71
29,0.43,0,0,7,3,1,0,43
5,0.44,1,291,9,2,1,0,76
2,0.68,0,0,6,1,1,0,58
0,0.29,1,208,1,3,0,0,45
18,0.54,1,344,3,1,1,0,68
28,0.84,0,0,3,0,1,0,31
3,0.63,1,332,9,1,0,0,71
28,0.28,1,272,4,0,1,0,33
26,0.47,0,0,8,0,0,0,11
6,0.24,1,331,1,2,1,0,62
9,0.88,0,0,6,0,0,0,53
29,0.05,0,0,2,2,0,1,10
22,0.8,0,0,6,1,1,0,47
27,0.46,1,93,9,2,0,0,39
7,0.68,1,397,8,1,1,0,83
16,0.55,0,0,9,0,0,0,45
6,0.96,0,0,1,1,1,0,52
14,0.9,1,213,1,1,0,0,55
15,0.6,1,440,6,3,1,0,84
0,0.64,0,0,6,1,0,0,43
12,0.69,0,0,7,2,0,0,60
28,0.56,0,0,3,3,0,0,28
18,0.27,1,201,5,3,0,0,75
21,0.92,1,426,4,3,0,0,65
7,0.89,1,242,4,1,0,0,72
10,0.3,0,0,2,0,1,0,19
2,0.9,0,0,0,3,1,0,50
14,0.07,1,471,6,3,1,0,72
20,0.43,0,0,1,1,1,0,10
11,0.02,0,0,3,0,1,0,27
29,0.44,0,0,2,2,1,0,12
21,0.12,1,140,4,0,0,0,32
14,0.2,0,0,3,1,1,0,38
2,0.89,0,0,5,2,0,0,64
23,0.4,0,0,1,1,1,0,18
22,0.97,0,0,6,1,0,0,40
11,0.12,0,0,0,3,1,0,28
29,0.58,1,114,6,0,0,0,24
22,0.08,0,0,0,0,0,1,10
6,0.51,1,497,2,2,1,0,71
6,0.93,1,466,4,1,0,0,71
0,0.57,1,361,2,1,0,0,49
16,0.4,1,42,5,3,0,0,54
14,0.07,1,461,2,0,1,0,39
15,0.74,1,320,2,3,0,0,71
22,0.64,0,0,8,2,0,0,39
3,0.44,1,228,5,3,1,0,95
18,0.56,1,442,2,3,1,0,69
13,0.32,0,0,6,0,0,0,30
27,0.26,0,0,3,2,0,0,16
8,0.31,1,75,9,0,0,0,50
25,0.19,1,278,1,0,1,0,18
2,0.95,0,0,3,1,1,0,57
27,0.0,0,0,9,2,0,1,14
6,0.04,1,58,3,3,0,0,59
18,0.91,0,0,8,3,1,0,75
3,0.36,0,0,4,0,0,0,34
8,0.15,1,184,3,3,0,0,48
2,0.17,0,0,8,0,1,0,34
